西元年,民國年,園區別,子園區,用電量_千度
2022,111,新竹科學園區,新竹園區,11107990
2022,111,新竹科學園區,竹南園區,1639480
2022,111,新竹科學園區,龍潭園區,1147730
2022,111,新竹科學園區,新竹生醫園區,72220
2022,111,新竹科學園區,銅鑼園區,244190
2022,111,新竹科學園區,宜蘭園區,5970
2022,111,中部科學園區,臺中園區,9507576
2022,111,中部科學園區,虎尾園區,146930
2022,111,中部科學園區,后里園區,2996700
2022,111,中部科學園區,二林園區,3386
2022,111,中部科學園區,中興園區,12322
2022,111,南部科學園區,臺南園區,14813814
2022,111,南部科學園區,高雄園區,1387367
2022,111,南部科學園區,橋頭園區,0
2022,111,南部科學園區,嘉義園區,0
2022,111,南部科學園區,屏東園區,0
2022,111,南部科學園區,楠梓園區,0
2023,112,新竹科學園區,新竹園區,10841780
2023,112,新竹科學園區,竹南園區,1660740
2023,112,新竹科學園區,龍潭園區,1119420
2023,112,新竹科學園區,新竹生醫園區,75460
2023,112,新竹科學園區,銅鑼園區,229440
2023,112,新竹科學園區,宜蘭園區,6060
2023,112,中部科學園區,臺中園區,9176372
2023,112,中部科學園區,虎尾園區,125355
2023,112,中部科學園區,后里園區,3111136
2023,112,中部科學園區,二林園區,42328
2023,112,中部科學園區,中興園區,12206
2023,112,南部科學園區,臺南園區,16781433
2023,112,南部科學園區,高雄園區,1512072
2023,112,南部科學園區,橋頭園區,0
2023,112,南部科學園區,嘉義園區,0
2023,112,南部科學園區,屏東園區,0
2023,112,南部科學園區,楠梓園區,0
2024,113,新竹科學園區,新竹園區,10691350
2024,113,新竹科學園區,竹南園區,1919490
2024,113,新竹科學園區,龍潭園區,1117950
2024,113,新竹科學園區,新竹生醫園區,77750
2024,113,新竹科學園區,銅鑼園區,267700
2024,113,新竹科學園區,宜蘭園區,6560
2024,113,中部科學園區,臺中園區,9126880
2024,113,中部科學園區,虎尾園區,11235
2024,113,中部科學園區,后里園區,3281773
2024,113,中部科學園區,二林園區,2928
2024,113,中部科學園區,中興園區,67603
2024,113,南部科學園區,臺南園區,17219148
2024,113,南部科學園區,高雄園區,1625140
2024,113,南部科學園區,橋頭園區,0
2024,113,南部科學園區,嘉義園區,0
2024,113,南部科學園區,屏東園區,0
2024,113,南部科學園區,楠梓園區,0
